Airport,Year,DomesticPassengers,InternationalPassengers,TotalPassengers
SYDNEY,2019,27538404,16890441,44428845
SYDNEY,2020,7444780,3782912,11227692
SYDNEY,2021,7171759,729529,7901288
SYDNEY,2022,20872921,8183300,29056221
SYDNEY,2023,24078732,14639041,38717773
SYDNEY,2024,25056892,16403641,41460533
MELBOURNE,2019,25815647,11318644,37134291
MELBOURNE,2020,6462941,2434451,8897392
MELBOURNE,2021,6763686,396590,7160276
MELBOURNE,2022,20309831,5407527,25717358
MELBOURNE,2023,23230603,10001959,33232562
MELBOURNE,2024,24023976,11492103,35516079
BRISBANE,2019,17580142,6425564,24005706
BRISBANE,2020,6386797,1388291,7775088
BRISBANE,2021,7658654,247999,7906653
BRISBANE,2022,14374443,2529337,16903780
BRISBANE,2023,16343097,4845468,21188565
BRISBANE,2024,17106783,6146538,23253321
PERTH,2019,8150336,4363180,12513516
PERTH,2020,2947118,978960,3926078
PERTH,2021,3854138,90651,3944789
PERTH,2022,6539200,1871003,8410203
PERTH,2023,8278831,3885836,12164667
PERTH,2024,8784283,4799026,13583309
ADELAIDE,2019,7387579,1128592,8516171
ADELAIDE,2020,2348454,240959,2589413
ADELAIDE,2021,3031107,35688,3066795
ADELAIDE,2022,6006859,409977,6416836
ADELAIDE,2023,7116372,881114,7997486
ADELAIDE,2024,7387193,964443,8351636
GOLD COAST,2019,5543608,940995,6484603
GOLD COAST,2020,1514472,207744,1722216
GOLD COAST,2021,2038812,44244,2083056
GOLD COAST,2022,5317495,391192,5708687
GOLD COAST,2023,5439546,790624,6230170
GOLD COAST,2024,5577882,628334,6206216
CAIRNS,2019,4126357,651824,4778181
CAIRNS,2020,1587304,119221,1706525
CAIRNS,2021,2312189,2490,2314679
CAIRNS,2022,3672627,135262,3807889
CAIRNS,2023,3951999,506793,4458792
CAIRNS,2024,4073160,625914,4699074
CANBERRA,2019,3153043,85069,3238112
CANBERRA,2020,895979,13011,908990
CANBERRA,2021,1023882,137,1024019
CANBERRA,2022,2437607,0,2437607
CANBERRA,2023,2757350,12080,2769430
CANBERRA,2024,2795829,37290,2833119
HOBART,2019,2781739,0,2781739
HOBART,2020,879663,0,879663
HOBART,2021,1261289,4480,1265769
HOBART,2022,2289011,14527,2303538
HOBART,2023,2579514,31915,2611429
HOBART,2024,2729286,20292,2749578
DARWIN,2019,1727460,256030,1983490
DARWIN,2020,654982,47424,702406
DARWIN,2021,1072344,2750,1075094
DARWIN,2022,1545360,127769,1673129
DARWIN,2023,1601463,167724,1769187
DARWIN,2024,1606569,211240,1817809
